Date,Open,High,Low,Close,Adj Close,Volume
2019-06-17,10.98,11.3,10.88,11.18,10.667701,1238700
2019-06-18,11.27,11.42,11.19,11.41,10.887162,1867100
2019-06-19,11.5,11.68,11.34,11.53,11.001663,1528600
2019-06-20,11.58,11.59,10.88,10.93,10.429156,2733200
2019-06-21,10.88,10.88,10.31,10.6,10.114279,3039800
2019-06-24,10.64,10.66,9.97,10.01,9.551314,2909000
2019-06-25,10.01,10.03,9.42,9.48,9.0456,3663000
2019-06-26,9.53,9.7,9.31,9.45,9.016974,2925300
2019-06-27,9.45,9.54,9.35,9.49,9.055141,2029500
2019-06-28,9.46,9.52,9.28,9.33,8.902473,2543800
2019-07-01,9.85,9.9,9.15,9.27,8.845223,2919200
2019-07-02,9.23,9.3,9.04,9.21,8.787971,2061700
2019-07-03,9.23,9.31,9,9.1,8.683013,1957900
2019-07-05,9.03,9.51,9.03,9.4,8.969265,3136000
2019-07-08,9.34,9.37,8.8,8.86,8.45401,4470700
2019-07-09,8.83,9.18,8.73,8.91,8.501719,3588400
2019-07-10,9.02,9.32,8.95,9.22,8.797514,2153600
2019-07-11,9.22,9.55,9.13,9.45,9.016974,2505500
2019-07-12,9.55,9.61,9.31,9.46,9.026517,1841600
2019-07-15,9.39,9.53,9.06,9.49,9.055141,2266500
2019-07-16,9.39,9.82,9.32,9.78,9.331853,2189600
2019-07-17,9.78,9.94,9.64,9.81,9.360478,1753200
2019-07-18,9.62,9.9,9.49,9.62,9.179185,2066900
2019-07-19,9.95,11.04,9.93,10.54,10.057028,11042800
2019-07-22,10.64,10.9,10.07,10.41,9.932984,5519500
2019-07-23,10.26,10.53,10.18,10.3,9.828026,2987200
2019-07-24,10.33,10.89,10.33,10.78,10.286029,2660900
2019-07-25,10.81,11.02,10.67,10.94,10.438698,2211400
2019-07-26,11,11.3,10.95,11.25,10.734493,2339900
2019-07-29,11.3,11.45,10.93,11.45,10.925329,2746700
2019-07-30,11.34,11.74,11.13,11.74,11.202041,2778100
2019-07-31,11.75,11.98,11.55,11.83,11.287916,2818700
2019-08-01,11.7,11.82,11.04,11.26,10.744036,4601900
2019-08-02,11.2,11.64,11.08,11.62,11.087539,2870100
2019-08-05,11.43,11.48,10.89,11.1,10.591367,2861200
2019-08-06,11.16,11.41,11,11.32,10.801286,1790500
2019-08-07,11.1,11.45,10.92,11.35,10.82991,3239700
2019-08-08,12.15,12.49,11.45,12.01,11.459668,8409000
2019-08-09,11.97,12.36,11.8,12.18,11.621879,3552100
2019-08-12,12.12,12.4,11.6,11.76,11.221124,2489400
2019-08-13,11.72,12.26,11.55,11.67,11.135247,3037700
2019-08-14,11.48,11.5,10.74,10.75,10.257404,3809600
2019-08-15,10.7,10.86,10.46,10.84,10.343281,2098000
2019-08-16,10.95,11.3,10.9,11.15,10.639075,1882300
2019-08-19,11.4,11.64,11.24,11.39,10.868079,1562300
2019-08-20,11.38,11.54,11.26,11.34,10.82037,1253500
2019-08-21,11.4,11.57,11.23,11.41,10.887162,1652900
2019-08-22,11.44,11.6,11.23,11.51,10.982579,2147700
2019-08-23,11.42,11.47,10.87,11.01,10.50549,3099100
2019-08-26,11.12,11.38,11.03,11.31,10.791744,1420900
2019-08-27,11.37,11.37,10.74,10.86,10.362364,2628400
2019-08-28,10.81,11.31,10.61,11.25,10.734493,1529200
2019-08-29,11.36,11.5,11.24,11.3,10.782202,1437400
2019-08-30,11.33,11.39,11,11.11,10.600909,1813100
2019-09-03,11.19,11.47,10.97,11.4,10.87762,2483100
2019-09-04,11.53,11.8,11.43,11.71,11.173415,1983500
2019-09-05,11.91,12.06,11.8,12.02,11.469211,2390000
2019-09-06,11.82,11.97,11.5,11.52,11.178113,1692600
2019-09-09,11.57,11.76,11.36,11.68,11.333365,1895800
2019-09-10,11.65,11.79,11.47,11.65,11.304255,1936300
2019-09-11,11.66,11.87,11.47,11.74,11.391583,1436300
2019-09-12,11.74,11.87,11.52,11.7,11.352771,1697500
2019-09-13,11.8,11.98,11.67,11.96,11.605055,1654500
